algorithm,eff_veh_length,precision,recall,f1_score
Ding,18,0.8278,0.7459,0.7847
Ding,19,0.8436,0.7657,0.8028
Ding,20,0.8714,0.8053,0.837
Ding,21,0.8727,0.7921,0.8304
Ding,22,0.886,0.7954,0.8383
Ding,23,0.8593,0.7657,0.8098
Ding,24,0.8511,0.736,0.7894
Ding,25,0.8314,0.7162,0.7695
Ding,26,0.8171,0.6931,0.75
Ding,27,0.7875,0.6238,0.6962
Lu,18,0.5282,0.5875,0.5563
Lu,19,0.5444,0.6073,0.5741
Lu,20,0.5769,0.6436,0.6084
Lu,21,0.5917,0.6601,0.624
Lu,22,0.5917,0.6601,0.624
Lu,23,0.5917,0.6601,0.624
Lu,24,0.5929,0.6634,0.6262
Lu,25,0.59,0.6601,0.6231
Lu,26,0.5579,0.6205,0.5875
Lu,27,0.549,0.6106,0.5782